時間 (s),位移 (in),速度 (in/s),加速度 (in/s²),彈簧力 (k)
0.8900,0.2993,-9.3371,-165.5661,189.0327
0.8950,0.2507,-10.0836,-133.0224,158.3650
0.9000,0.1988,-10.6631,-98.8042,125.6034
0.9050,0.1445,-11.0688,-63.4672,91.2860
0.9100,0.0886,-11.2964,-27.5776,55.9685
0.9150,0.0320,-11.3446,8.2965,20.2155
0.9200,-0.0244,-11.2149,43.5948,-15.4088
0.9250,-0.0797,-10.9115,77.7725,-50.3491
0.9300,-0.1331,-10.4413,110.3094,-84.0677
0.9350,-0.1837,-9.8137,140.7173,-116.0529
0.9400,-0.2309,-9.0405,168.5473,-145.8261
0.9450,-0.2738,-8.1357,193.3966,-172.9495
0.9500,-0.3119,-7.1149,214.9137,-197.0320
0.9550,-0.3447,-5.9956,232.8037,-217.7352
0.9600,-0.3717,-4.7965,246.8322,-234.7773
0.9650,-0.3925,-3.5374,256.8279,-247.9375
0.9700,-0.4070,-2.2386,262.6847,-257.0585
0.9750,-0.4149,-0.9210,264.3625,-262.0478
0.9800,-0.4162,0.3947,261.8871,-262.8790
0.9850,-0.4110,1.6877,255.3489,-259.5906
0.9900,-0.3994,2.9384,244.9005,-252.2854
0.9950,-0.3817,4.1275,230.7540,-241.1275
1.0000,-0.3583,5.2373,213.1765,-226.3393
1.0050,-0.3296,6.2515,192.4854,-208.1970
1.0100,-0.2961,7.1553,169.0428,-187.0260
1.0150,-0.2584,7.9360,143.2495,-163.1949
1.0200,-0.2171,8.5830,115.5379,-137.1093
1.0250,-0.1729,9.0878,86.3650,-109.2049
1.0300,-0.1266,9.4442,56.2049,-79.9407
1.0350,-0.0788,9.6486,25.5415,-49.7908
1.0400,-0.0305,9.6996,-5.1398,-19.2378
1.0450,0.0178,9.5983,-35.3591,11.2360
1.0500,0.0652,9.3483,-64.6497,41.1550
1.0550,0.1109,8.9552,-92.5655,70.0586
1.0600,0.1544,8.4271,-118.6871,97.5075
1.0650,0.1949,7.7738,-142.6285,123.0908
1.0700,0.2318,7.0071,-164.0427,146.4318
1.0750,0.2647,6.1405,-182.6262,167.1936
1.0800,0.2930,5.1886,-198.1240,185.0836
