Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
23.88,-0.1258539615,0.08590489952443259,-0.047217044033423944,0.0370524531904709,-0.28903743330609727,0.23736080641185664,0.1736832799807494,-0.20313253378166468,0.2107357331712203
23.89,-0.15752015100000002,0.08543538836648046,-0.04668518755700194,0.0693188420939298,-0.28665519477963686,0.23908689888022572,0.17153521369306268,-0.2012198064131564,0.24085405578699248
23.9,-0.1642697253,0.08497218583644213,-0.045955318450663786,0.07665497917370157,-0.28425580155830676,0.24079174538579287,0.16943408742036958,-0.19928361572186465,0.24608906659407115
23.91,-0.1490610861,0.08451609974141519,-0.04526190055472403,0.0620286000142497,-0.28183946518268627,0.2424755297383067,0.16732278308239834,-0.19732336544127108,0.22935138309664804
23.92,-0.1145001618,0.08406573284469045,-0.04481147879022471,0.028055752885615237,-0.2794063980717688,0.24413789244518386,0.16514975829303957,-0.19534066522707838,0.1932055111786548
23.93,-0.08796492603,0.08361837243235362,-0.04466060367714034,0.002119269731258311,-0.27695681791244436,0.24577813941970597,0.16289963661138607,-0.19333844548009074,0.16501890634264438
23.94,-0.07155093213,0.08317147720416564,-0.04471844196045667,-0.013686926394525512,-0.27449094919125683,0.24739560481780132,0.16059344300768352,-0.1913194719870912,0.146906516613158
23.95,-0.05653592271,0.08272324846219554,-0.044927306433561624,-0.02808596822646503,-0.2720090221948865,0.24898979445626723,0.15824448468549768,-0.18928577373269095,0.13015851645903265
23.96,-0.04554721197,0.08227231198640668,-0.04525998872421152,-0.03845048990351263,-0.26951127166774125,0.25056031097278025,0.15585881861710427,-0.18723895968133458,0.11740832871359164
23.97,-0.03653748234,0.08181758013340812,-0.045686381875500594,-0.04682814035430194,-0.2669979360028428,0.25210682200691475,0.15344338820979508,-0.18518035586943465,0.10661524785549314
23.98,-0.029112312960000004,0.08135820527705596,-0.04618858939493029,-0.05361336353163726,-0.26446925664120435,0.2536290503207691,0.15100227456107895,-0.1831110513641484,0.0973889110294417
23.99,-0.02285380764,0.08089349844783596,-0.04675277644907118,-0.059224047296540294,-0.2619254776147703,0.2551267549660399,0.14853865449309545,-0.18103197916693436,0.08931460719655515
24.0,-0.015098894730000001,0.08042283201594869,-0.04738050992838291,-0.06632264856580694,-0.25936684529998666,0.2565997079906898,0.1460519504368839,-0.17894401328403797,0.07972930187107696
24.01,-0.008970513174,0.07994557420772128,-0.04807105171709916,-0.0717857091774422,-0.2567936083675204,0.2580476785025601,0.14354215193716946,-0.17684803415979913,0.07175644275972726
24.02,-0.011353701600000002,0.079461350796485,-0.04877363053015545,-0.06873005343381611,-0.2542060174856372,0.2594704978740811,0.14102172236702792,-0.1747446666891522,0.07229166893321182
24.03,-0.013314033900000001,0.07897024394134007,-0.04944774049883096,-0.06609194030128573,-0.2516043244421672,0.26086811081992317,0.1385008668013804,-0.17263408050082713,0.07240892650009467
24.04,-0.01010955816,0.07847239893102766,-0.05012126156365192,-0.0686122726629056,-0.2489887814876085,0.262240480091813,0.1359729875765786,-0.17051638255658086,0.06736071491367301
24.05,-0.014844344850000002,0.07796789131695041,-0.05078026125179783,-0.0631876649662767,-0.24635964131845883,0.2635875537381207,0.1334417416849626,-0.1683917500015084,0.07025407671868589
24.06,-0.03390390936,0.07745742306188287,-0.051313389761709474,-0.04343803701605087,-0.24371715635896768,0.26490943816011,0.1309351427128994,-0.16625973329708482,0.08749710569684854
24.07,-0.05006370654,0.07694253841842909,-0.05166353892904723,-0.026591796451500005,-0.24106157689028407,0.2662064555766122,0.1284683405875463,-0.164119038471855,0.1018765441360463
24.08,-0.06605084772,0.0764249901650841,-0.051846111739950865,-0.009922765729227234,-0.23839314965731523,0.2674789910171558,0.12603874752116362,-0.16196815949223115,0.11611598179193638
24.09,-0.08694585342000001,0.07590657215175775,-0.05183749092531847,0.011646928655706046,-0.23571211744338263,0.2687274517693629,0.1236534029202695,-0.15980554529162488,0.13530033157597554
24.1,-0.11466183060000001,0.0753894890626251,-0.051579126901210984,0.04002587616579045,-0.23301871838601715,0.2699523597037343,0.12132818395401934,-0.15762922932339204,0.1613540601198098
24.11,-0.1483692849,0.07487655792260628,-0.05100710110255384,0.07437928356563905,-0.23031318456830915,0.2711544038378646,0.11908064287203579,-0.15543662664570287,0.19345992643767485
24.12,-0.1621027944,0.07437056494909376,-0.050191493599949635,0.08874221695520201,-0.22759574113115016,0.27233428359393336,0.11689530834171002,-0.1532251761820564,0.20563752529691204
24.13,-0.1457024364,0.07387269267967629,-0.04938296028354453,0.072964446325818,-0.22486660813022027,0.2734923165920446,0.11471129128052915,-0.15099391545054397,0.18767573760634715
24.14,-0.111035466,0.07338166030716199,-0.04882351421931538,0.03892476652001331,-0.2221260054725582,0.27462821494036993,0.11246837838453339,-0.1487443451653962,0.1513931449045467
24.15,-0.0802007721,0.072894616477088,-0.048585251795482266,0.00872771824660934,-0.21937415793175857,0.27574129321955587,0.11014727745265496,-0.14647954145467057,0.1188749956992643
24.16,-0.06199173459,0.07240876129327585,-0.04858578496694841,-0.008834352539837664,-0.21661129714823044,0.27683086348607155,0.107766775850478,-0.14420253585495457,0.09893242331064034
24.17,-0.0674100036,0.0719226134280598,-0.04864378807626037,-0.0027662693225546375,-0.21383766007379187,0.2778965514016408,0.10537080726337045,-0.14191504664573207,0.10260453794081581
