Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
6.8,0.9784668618000001,0.03309135906184868,-0.14692247197307684,-0.9963835050098031,0.015007408833745043,0.0042776078973790375,-0.03619032110204613,0.048098767895593725,-1.0325738261118493
6.81,0.8956661454,0.03157443925790902,-0.15646148881485444,-0.9114198633457202,0.015048286493019876,0.003897923957587475,-0.03974646685626625,0.0466227257509289,-0.9511663302019865
6.82,0.8994093471000001,0.029964215190767668,-0.16558332461341663,-0.9129472963667173,0.015085191759251425,0.00348312928872237,-0.043212466916754746,0.04504940695001909,-0.9561597632834721
6.83,0.9472346667,0.028261596920092252,-0.17494032952166647,-0.9584536852832524,0.015117773143034158,0.00303314746782429,-0.04678389726286124,0.04337937006312641,-1.0052375825461135
6.84,0.9904617450000001,0.02646325127700937,-0.18472879909490997,-0.9992402293654483,0.015145671997004924,0.0025466233263288676,-0.05052093103622325,0.041608923274014296,-1.0497611604016717
6.85,1.023415497,0.024565241425580028,-0.19487317119095862,-1.02963418984428,0.015168515151929886,0.002022007658663447,-0.05440220249686088,0.03973375657750991,-1.084036392341141
6.86,1.081684935,0.02256363847906331,-0.20544741811238482,-1.085215194440956,0.01518591389057608,0.0014577400705754774,-0.058451315120733,0.037749552369639394,-1.1436665095616891
6.87,1.1802283470000001,0.020452511156399816,-0.21677804642031398,-1.180910467144876,0.015197460791510336,0.0008516401162756122,-0.06276867573924004,0.035649971947910156,-1.243679142884116
6.88,1.2608920529999998,0.018223744174997485,-0.22897534986015225,-1.258550220822777,0.015202723211988617,0.00020084397938065495,-0.0673905516397514,0.033426467386986104,-1.3259407724625285
6.89,1.280494395,0.01587065247593871,-0.2416429899516026,-1.2749777974672933,0.015201241883704811,-0.0004971096361418043,-0.07220017146474043,0.031071894359643523,-1.3471779689320338
6.9,1.2566197980000002,0.013391152708711735,-0.25425696349379256,-1.2478169109707058,0.01519253977316112,-0.001243312472596511,-0.07704039582620091,0.028583692481872855,-1.3248573067969067
6.91,1.240312635,0.010786684462904674,-0.2666366856676195,-1.2281275237946896,0.015176134240983803,-0.0020377939628668266,-0.08185590222786222,0.025962818703888477,-1.3099834260225518
6.92,1.292073138,0.008057704899055221,-0.2791592271022711,-1.2763807631356276,0.015151540915149203,-0.0028808712040532653,-0.08675954600942547,0.023209245814204423,-1.3631403091450531
6.93,1.422429399,0.005199127043099954,-0.29255634408878256,-1.4030426341666593,0.015118263883872982,-0.0037745350511909667,-0.09197322341811477,0.020317390926972934,-1.495015857584774
6.94,1.5640063380000002,0.0021999702145089847,-0.3072750216294113,-1.5406928739590815,0.01507577831190713,-0.004722579341979336,-0.09763563473955904,0.017275748526416116,-1.6383285086986406
6.95,1.652055993,-0.000951912052327488,-0.32310143173788325,-1.6245891477353136,0.015023519448950553,-0.005729193249336105,-0.10368714673179481,0.014071607396623064,-1.7282762944671084
6.96,1.7082810270000002,-0.004265452588773724,-0.33960667555136387,-1.6764596149608129,0.014960885286941929,-0.0067976391523887295,-0.11000203387872996,0.010695432698168205,-1.7864616488395428
6.97,1.773556767,-0.007746860410889563,-0.35667488887180404,-1.7371830491272173,0.014887245155449648,-0.007930387146067357,-0.11654756485699537,0.007140384744560085,-1.8537306139842127
6.98,1.821155868,-0.011401539644485755,-0.37426095784743435,-1.7800307459988365,0.014801944796532216,-0.009129684637419082,-0.12331193341334966,0.003400405152046461,-1.9033426794121862
6.99,1.7537699970000002,-0.01523134361607106,-0.39169983646962664,-1.7077449784396133,0.014704312768759168,-0.010396720917190523,-0.13009532254093847,-0.000527030847311892,-1.8378403009805517
7.0,1.422385254,-0.019225322378398833,-0.40709591599592787,-1.3714709268206282,0.01459368511871992,-0.01172880909065916,-0.136322312152789,-0.004631637259678913,-1.5077932389734172
7.01,0.7333987392000001,-0.023347515386524315,-0.4173426856291687,-0.677882999827538,0.014469462903079796,-0.013115634037365646,-0.14104267718850827,-0.00887805248344452,-0.8189256770160462
7.02,-0.26156697300000004,-0.02752986249357109,-0.419126735780186,0.3210729696240757,0.014331199733223735,-0.01453699993384657,-0.14323050210767652,-0.013198662760347354,0.1778424675163992
