"tablescraper-selected-row href","name","tablescraper-selected-row","tablescraper-selected-row 3"
"https://twcoupon.com/brandshop-18052-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e5%a4%a9%e5%bc%b7%e9%96%80%e5%b8%82.html","新天強門市","台北市士林區克強路11及11-1號1樓","02-28385947"
"https://twcoupon.com/brandshop-18629-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%91%ab%e8%98%86%e9%96%80%e5%b8%82.html","葫蘆門市","台北市士林區延平北路五段134號","02-28112919"
"https://twcoupon.com/brandshop-18628-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%91%ab%e6%9d%b1%e9%96%80%e5%b8%82.html","葫東門市","台北市士林區延平北路五段228號1樓230號1樓2樓","02-28137082"
"https://twcoupon.com/brandshop-17948-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e9%9b%86%e9%91%ab%e9%96%80%e5%b8%82.html","集鑫門市","台北市士林區延平北路六段229號231號","02-28113784"
"https://twcoupon.com/brandshop-15403-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%b4%b2%e7%be%8e%e9%96%80%e5%b8%82.html","洲美門市","台北市士林區延平北路六段505號","02-28162633"
"https://twcoupon.com/brandshop-16021-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%8a%9d%e7%8e%89%e9%96%80%e5%b8%82.html","芝玉門市","台北市士林區忠義街121號","02-28350887"
"https://twcoupon.com/brandshop-17585-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%87%b1%e7%ab%8b%e9%96%80%e5%b8%82.html","凱立門市","台北市士林區忠義街68號","02-28329371"
"https://twcoupon.com/brandshop-18644-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%aa%a0%e7%be%a9%e9%96%80%e5%b8%82.html","誠義門市","台北市士林區忠誠路一段126號128號","02-28353013"
"https://twcoupon.com/brandshop-18164-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e6%89%bf%e5%be%b7%e9%96%80%e5%b8%82.html","新承德門市","台北市士林區承德路四段30號","02-28857157"
"https://twcoupon.com/brandshop-15740-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%89%bf%e5%af%8c%e9%96%80%e5%b8%82.html","承富門市","台北市士林區承德路四段39號","02-28862627"
"https://twcoupon.com/brandshop-16694-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%8f%8b%e6%88%90%e9%96%80%e5%b8%82.html","友成門市","台北市士林區社中街211號1樓","02-88112514"
"https://twcoupon.com/brandshop-16006-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e7%a4%be%e4%b8%ad%e9%96%80%e5%b8%82.html","社中門市","台北市士林區社中街320號322號1樓","02-28119270"
"https://twcoupon.com/brandshop-18778-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e7%a6%8f%e5%bf%97%e9%96%80%e5%b8%82.html","福志門市","台北市士林區雨農路25號","02-88663358"
"https://twcoupon.com/brandshop-15260-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%89%8d%e6%b8%af%e9%96%80%e5%b8%82.html","前港門市","台北市士林區後港街98之1號2號1樓","02-28818943"
"https://twcoupon.com/brandshop-16852-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%86%ac%e6%a8%82%e9%96%80%e5%b8%82.html","冬樂門市","台北市士林區美崙街112號一樓","02-28345642"
"https://twcoupon.com/brandshop-14906-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%8d%89%e5%b1%b1%e9%96%80%e5%b8%82.html","草山門市","台北市士林區格致路28號","02-28626422"
"https://twcoupon.com/brandshop-16752-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%87%e5%a4%a7%e9%96%80%e5%b8%82.html","文大門市","台北市士林區格致路57號","02-28623443"
"https://twcoupon.com/brandshop-15736-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%89%bf%e6%b2%b3%e9%96%80%e5%b8%82.html","承河門市","台北市士林區基河路132號1樓","02-28817180"
"https://twcoupon.com/brandshop-18382-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e7%a6%8f%e6%85%b6%e9%96%80%e5%b8%82.html","新福慶門市","台北市士林區基河路1號1樓(部份)","02-28813445"
"https://twcoupon.com/brandshop-16744-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%aa%e5%ad%b8%e9%96%80%e5%b8%82.html","太學門市","台北市士林區華岡路45之1號1樓","02-28627655"
"https://twcoupon.com/brandshop-17877-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%8f%af%e9%bd%a1%e9%96%80%e5%b8%82.html","華齡門市","台北市士林區華齡街17巷2號4號1樓","02-28835452"
"https://twcoupon.com/brandshop-18783-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e7%a6%8f%e8%8a%9d%e9%96%80%e5%b8%82.html","福芝門市","台北市士林區福國路94號","02-28358739"
"https://twcoupon.com/brandshop-18396-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%96%b0%e5%8a%8d%e6%bd%ad%e9%96%80%e5%b8%82.html","新劍潭門市","台北市士林區福港街246號248號","02-28882016"
"https://twcoupon.com/brandshop-16020-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%8a%9d%e5%b1%b1%e9%96%80%e5%b8%82.html","芝山門市","台北市士林區福華路126號1樓","02-28316143"
"https://twcoupon.com/brandshop-17173-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e4%b8%89%e6%a8%82%e9%96%80%e5%b8%82.html","三樂門市","台北市士林區劍潭路21號1樓","02-28832921"
"https://twcoupon.com/brandshop-15483-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e8%bf%aa%e5%8c%96%e9%96%80%e5%b8%82.html","迪化門市","台北市大同區民生西路343號345號","02-25529032"
"https://twcoupon.com/brandshop-16892-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e4%bb%9f%e7%99%bc%e9%96%80%e5%b8%82.html","仟發門市","台北市大同區民生西路95號97號","02-25570749"
"https://twcoupon.com/brandshop-15707-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%bb%b6%e8%8f%af%e9%96%80%e5%b8%82.html","延華門市","台北市大同區延平北路一段89號91號93號1樓","02-25506316"
"https://twcoupon.com/brandshop-15706-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%bb%b6%e5%9f%95%e9%96%80%e5%b8%82.html","延埕門市","台北市大同區延平北路二段159號161號","02-25520267"
"https://twcoupon.com/brandshop-15166-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%b6%bc%e5%b7%9e%e9%96%80%e5%b8%82.html","涼州門市","台北市大同區延平北路二段258號","02-25501438"
"https://twcoupon.com/brandshop-15703-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%bb%b6%e5%b9%b4%e9%96%80%e5%b8%82.html","延年門市","台北市大同區延平北路三段61-5號","02-25978111"
"https://twcoupon.com/brandshop-17786-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%b9%a7%e4%b9%85%e9%96%80%e5%b8%82.html","湧久門市","台北市大同區延平北路四段157號159號","02-25982186"
"https://twcoupon.com/brandshop-15712-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%bb%b6%e9%be%8d%e9%96%80%e5%b8%82.html","延龍門市","台北市大同區延平北路四段16號18號1樓","02-25969446"
"https://twcoupon.com/brandshop-15741-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%89%bf%e8%8f%af%e9%96%80%e5%b8%82.html","承華門市","台北市大同區承德路一段22號","02-25562955"
"https://twcoupon.com/brandshop-17172-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e4%b8%89%e5%be%b7%e9%96%80%e5%b8%82.html","三德門市","台北市大同區承德路三段55號57號1樓","02-25955432"
"https://twcoupon.com/brandshop-15749-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e6%98%8c%e5%90%89%e9%96%80%e5%b8%82.html","昌吉門市","台北市大同區承德路三段60號60-1號","02-25927056"
"https://twcoupon.com/brandshop-17314-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a4%a7%e9%be%8d%e9%96%80%e5%b8%82.html","大龍門市","台北市大同區昌吉街72號74號76號及蘭州街135號","02-25947220"
"https://twcoupon.com/brandshop-17990-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e5%a1%94%e5%9f%8e%e9%96%80%e5%b8%82.html","塔城門市","台北市大同區長安西路271號1樓及273巷2號1樓","02-25584706"
"https://twcoupon.com/brandshop-16345-7_11-%e5%8f%b0%e5%8c%97%e5%b8%82-%e9%95%b7%e5%b3%b0%e9%96%80%e5%b8%82.html","長峰門市","台北市大同區長安西路45之2號47號1樓","02-25556859"
