route_id,route_name
0100000A00,0東
0100000B00,0南
0100027020,270區
0400027500,275
0100027600,276
0100027700,277
0100027800,278
0100027820,278區
0100028000,280
0100028030,280直
0100028100,281
0100028200,282
0100028400,284
0100028720,287區
0100029200,292
0100030000,300
0400052000,520
0100053900,539
0100055600,556
0100056800,568
0400057300,573
0400057400,574
0400057500,575
0400057600,576
0454021500,578
0454021600,579
0454022100,580
0454022200,581
0454022300,582
0400058270,582經洲子洋
0454058290,582經工業區
0454022500,583
0454050200,585
0454090600,586
0454091200,589
0454091800,591
0100060000,600
0100060400,604
0100060500,605
0100060600,606
0100061200,612
0100061600,616
0400062400,624
0400062470,624綠野香坡
0400062900,629
0400062920,629區
0100063000,630
0400063500,635
0400063600,636
0400063700,637
0400063800,638
0400063810,638副
0400063900,639
0400064000,640
0100064300,643
0100064500,645
0100064510,645副
0100064800,648
0100065100,651
0100065200,652
0400065600,656
0400065700,657
0400065770,657延
0400065800,658
0100066000,660
0100066020,660區
0100066200,662
0400066700,667
0100066800,668
0100067100,671
0100067600,676
0400067700,677
0454091600,677副
0400067800,678
0100067900,679
0100068000,680
0100068100,681
0100068200,682
0100068500,685
0100068800,688
0400070100,701
0400070200,702
0400070400,704
0400070420,704區
0400070500,705
0400070600,706
0400027510,707
0100071100,711
0400071200,712
0400071210,712副
0100075600,756
0400076000,760
0400077800,778
0400077900,779
0400078300,783
0400078700,787
0400078770,787經瑞芳工業區
0400078800,788
0461078820,788區
0400078870,788海科館
0400078900,789
0400078920,789區
0400079000,790
0400079070,790漁港
0400079100,791
0400079120,791區
0400079170,791繞貢寮
0400079190,791經貢寮區衛生
0400079300,793
0400079570,795往木柵(台灣好行-木柵平溪線)
0400079580,795往平溪(台灣好行-木柵平溪線)
0400079500,795往十分寮(台灣好行-木柵平溪線)
0400079600,796
0400079700,797
0400079900,799
0400080000,800
0400080100,801
0400080200,802
0400080220,802區
0400080300,803
0400080500,805
0400080600,806
0400081000,810
0400081100,811
0400081200,812
0400081300,813
0400081320,813區
0400081500,815
0400081600,816
0400081700,817
0400081900,819
0400081910,819副
0400082000,820
0400082100,821
0400082200,822
0400082300,823
0400082400,824
0400082500,825
0400082600,826
0400082700,827
0400083500,835
0400083600,836
0400083800,838
0400084200,842
0400084300,843
0400084500,845
0400084700,847
0400084720,847區
0400084900,849
0400084970,849屈尺社區
0463085300,853跳蛙
0400085400,854
0400085600,856(台灣好行-黃金福隆線)
0400085700,857
0400085900,859
0400086000,860
0400086100,861
0400086200,862
0400086300,863
0400086400,864
0400086720,867區
0400086900,869
0400087500,875
0400087600,876
0400087800,878
0400087820,878區
0400087900,879
0400088000,880
0400088100,881
0400088200,882
0400088300,883
0400088500,885
0400088620,886區
0400088900,889
0400089000,890
0400089400,894
0400089500,895
